词语,全拼音,后名,状语,后地动,补语,谓语,兼类,备注
咸乎乎,xian2hu1hu1,,,否,可,可,,煮得~的
香喷喷,xiang1pen1pen1,,,,可,可,,炒得~的/这碗菜~的
响当当,xiang3dang1dang1,,,否,,可,,他是一个~的劳动模范/这位教授~
笑眯眯,xiao4mi1mi1,,,,,可,,他~的
笑嘻嘻,xiao4xi1xi1,,,,,可,,他~地说
笑盈盈,xiao4ying2ying2,,,,,可,,~地站在门外
兴冲冲,xing4chong1chong1,,,,,,,他~地上学去了
雄纠纠,xiong2jiu1jiu1,,,,可,,,"战士们~地走过主席台/新兵经过训练,变得~、气昂昂的"
羞答答,xiu1da1da1,,,,,可,,她~地说
羞羞答答,xiu1xiu5da1da1,,,,,可,,她见了生人~的
雪白,xue3bai2,,,否,可,可,,他的皮肤~[的]/这面粉~~的/墙壁刷得~
血红,xue4hong2,,,否,可,可,,夕阳~的/地板漆得~
血淋淋,xie3lin1lin1,,,,可,可,,咬得~的/~地躺着
严严实实,yan2yan5shi1shi1,,,,可,,,用被子捂得~的/~地捂着
妖里妖气,yao1li5yao1qi4,,,,可,可,,~地说/这个女孩变得~的
阴沉沉,yin1chen2chen2,,,否,可,可,,"老王脸色~的/天色变得~的,看样子要下雨了"
阴森森,yin1sen1sen1,,,否,,可,,古庙里面~的
硬邦邦,ying4bang1bang1,,,否,可,可,,咸鱼晒得~的
庸庸碌碌,yong1yong1lu4lu4,,,,可,可,,这个人~的/~地打发日子/日子过得~
油光光,you2guang1guang1,,,否,可,可,,大门漆得~的/你的衣服~的
油乎乎,you2hu1hu1,,,否,可,可,,搞得~的
油花花,you2hua1hua1,,,否,,可,,碗里~
油亮,you2liang4,,,否,可,可,,家具漆得~/这棵树叶子绿得~~的
圆滚滚,yuan2gun3gun3,,,否,可,可,,搓得~的
圆溜溜,yuan2liu1liu1,,,否,可,可,,~的鹅卵石
脏乎乎,zang1hu1hu1,,,,可,可,,"搞得~的/这件衣服~的穿着,真难受"
贼溜溜,zei2liu1liu1,,,,,可,,他~地跑来了
扎扎实实,zha1zha1shi1shi1,,,,可,可,,~地干工作/春耕生产抓得~/他的工作~
支支吾吾,zhi1zhi1wu1wu1,,,,可,可,,他~地说/说得~的
直勾勾,zhi2gou1gou1,,,,,可,,她~地看着我
直愣愣,zhi2leng4leng4,,,,,可,,他~地站着/眼睛~的
直挺挺,zhi2ting3ting3,,,,,可,,~地躺在那儿/身子~的
皱巴巴,zhou4ba1ba1,,,,可,可,,"裙子洗得~的/衣服~的穿着,真难看"
仔仔细细,zi3zi3xi4xi4,,可,,可,,,看得~的/~[地]看了一遍
醉醺醺,zui4xun1xun1,,,,可,可,,酒喝得~
