词语,全拼音,同形,数名,数量名,个体量词,度量词,容器量词,集体量词,种类量词,成形量词,不定量词,前接,后接,状语,重叠,临量,处所,兼类,备注
系统,xi4tong3,,,,个,,,,种,,,,"化,性",状,,,,a,~知识/语法~/操作~/很~地学习(a)
细胞,xi4bao1,,,,个,,,,种,,些,,,,,,,,~遗传学/动物~
细节,xi4jie2,,,,个,,,,种,,些,,,,,,,,故事~/~问题
细菌,xi4jun1,,,,个,,,,种,,些,,,,,,,,
虾,xia1,,,,只,"克,斤,公斤,吨","盘,碟,袋",群,种,堆,些,,子,,,,,,炸~
虾米,xia1mi5,,,,"粒,个","斤,吨,克,千克","袋,包",,,把,"些,点",,,,,,,,
虾仁,xia1ren2,,,,"粒,个",斤,"袋,包",,,把,"些,点",,儿,,,,,,
瑕疵,xia2ci1,,,,,,,,,,"些,点",,,,,,,,微小的缺点:这块玉有点~
下巴,xia4ba5,,,否,,,,,,,,,,,,,,,
下场,xia4chang3,,,,,,,,种,,,,,,,,,,
下级,xia4ji2,,,否,,,,,,,,,,,,,,,~干部
下脚料,xia4jiao3liao4,,,,,,,,种,"堆,块","些,点",,,,,,,,
下水道,xia4shui3dao4,,,,条,"米,公里",,,,段,些,,,,,,,,陶器~
夏令营,xia4ling4ying2,,,,个,,,,种,,些,,,,,,,,小学生~/~领队
仙女,xian1nv3,,,,"个,位",,,群,,,些,,们,,,,,,她是一位人间~
先辈,xian1bei4,,,,"位,个",,,,,,些,,们,,,,,,革命~
先锋,xian1feng1,,,,"位,个",,,"群,队",,,些,,,,,,,,~作用/改革~
先例,xian1li4,,,,个,,,,种,,些,,,,,,,,
先生,xian1sheng5,,,,"个,位,名",,,,,,些,,们,,,,,,
纤维,xian1wei2,,,,,"吨,公斤,千克,克",,,种,,些,,,,,,,,植物~
鲜花,xian1hua1,,,,"朵,枝",,"篮,瓶",批,种,"束,把",些,,,,,,,,
闲话,xian2hua4,,,,句,,,,,,"些,点",,,,,,,,上班时间~少说/清夜~(是文言用法)
闲事,xian2shi4,,,,"件,桩",,,,,,些,,,,,,,,
嫌疑,xian2yi2,,,,,,,,,,"些,点",,,,,,,,他有汉奸~/~分子
显微镜,xian3wei1jing4,,,,"台,架,个",,,,种,,些,,,,,,,,
险滩,xian3tan1,,,,"个,处",,,,,块,些,,,,,,,,黄河~
县,xian4,,,,个,,,,,,些,,长,,,,,,
现场会,xian4chang3hui4,,,,个,,,,,,些,,,,,,,,施工~
现金,xian4jin1,,,,,元,,笔,,,"些,点",,,,,,,,
现实,xian4shi2,,,否,,,,,,,,,,,,,,a,
现象,xian4xiang4,,,,个,,,,种,,些,,,,,,,,
现状,xian4zhuang4,,,,,,,,种,,,,,,,,,,生活~/我国~
线,xian4,,数,,"根,条",,,,,"捆,团,股",些,,儿,,,,,q,~团儿/海岸~/他仍在一~工作
线段,xian4duan4,,,,根,,,,,,,,,,,,,,
线路,xian4lu4,,,,条,,,,种,,些,,,,,,,,电话~/印刷~/~毛病
线索,xian4suo3,,,,"条,个",,,,,,"些,点",,,,,,,,有~/破案~
宪法,xian4fa3,,,,部,,,,,,,,,,,,,,
陷阱,xian4jing3,,,,"个,处",,,,种,,些,,,,,,,,
乡,xiang1,,,,个,,,,,,些,,长,,,,,,
乡村,xiang1cun1,,,,个,,,,,,些,,,,,,,,~生活
相册,xiang4ce4,,,,"本,个",,,,种,摞,些,,,,,,,,
相貌,xiang4mao4,,,否,,,,,,,,,,,,,,,小姑娘的~很美
相声,xiang4sheng5,,,,个,,,组,,段,些,,,,,,,,~节目/北京~
香肠,xiang1chang2,,,,根,"斤,吨,克,千克","袋,包,盘",,种,"段,片","些,点",,儿,,,,,,
香菇,xiang1gu1,,,,个,"斤,吨,克,千克","袋,包,筐",批,种,堆,"些,点",,,,,,,,
香水,xiang1shui3,,,,,"克,毫升",瓶,,种,滴,"些,点",,儿,,,,,,法国~
香烟,xiang1yan1,,,,"条,支,根,枝",,"包,盒,箱",批,种,段,些,,,,,,,,
香皂,xiang1zao4,,,,,,盒,,种,块,"些,点",,,,,,,,
箱子,xiang1zi5,,,,"个,只",,,批,种,摞,些,,,,,,,,
详情,xiang2qing2,,,,,,,,,,些,,,,,,,,
响声,xiang3sheng1,,,,,,,,种,,点,,,,,,,,一阵~把大家吵醒了
想法,xiang3fa5,,,,个,,,套,种,,"些,点",,,,,,,,个人~
向导,xiang4dao3,,,,"个,位,名",,,批,,,些,,,,,,,,
项链,xiang4lian4,,,,"条,根",,盒,,种,串,些,,,,,,,,珍珠~
象棋,xiang4qi2,,,,副,,盒,,种,,些,,界,,,,,,
象牙,xiang4ya2,,,,"只,根",,,对,,"段,块",些,,,,,,,,~筷子/非洲~
橡胶,xiang4jiao1,,,,,"吨,公斤,克",车,批,种,块,些,,,,,,,,
橡皮,xiang4pi2,,,,,,盒,,种,块,些,,,,,,,,
消息,xiao1xi5,,,,"条,则,个",,,,,,"些,点",,,,,,,,~来源/小道~
硝酸,xiao1suan1,,,,,"克,千克,吨,公斤",瓶,,,滴,"些,点",,,,,,,,
销量,xiao1liang4,,,否,,,,,,,,,,,,,,,
销路,xiao1lu4,,,,,,,,,,"些,点",,,,,,,,这种产品有~/商品~
小报,xiao3bao4,,,,张,,,份,种,,些,,,,,,,,
小不点儿,xiao3bu5dianr3,,,,个,,,群,,,些,,,,,,,,
小吃,xiao3chi1,,,,,"斤,千克","盒,盘,包",,"种,样,类",,些,,,,,,,,北京~
小费,xiao3fei4,,,,,,,笔,,,"些,点",,,,,,,,
小孩,xiao3hai2,,,,"个,名",,,"帮,群",,,些,,"们,子,儿",,,,,,~脾气/中国~
小伙子,xiao3huo3zi5,,,,"个,名",,,"群,帮",,,些,,们,,,,,,
小结,xiao3jie2,,,,"个,篇",,,份,,,些,,,,,,,v,工作~
小姐,xiao3jie5,,,,"位,个",,,群,,,些,,们,,,,,,~脾气
小卖部,xiao3mai4bu4,,,,"个,家",,,,,排,些,,,,,,可,,
小米,xiao3mi3,,,,粒,"斤,吨,克,千克,公斤","包,袋",批,种,把,"些,点",,儿,,,,,,陕西~
小品,xiao3pin3,,,,"个,篇",,,,"种,类",,些,,,,,,,,喜剧~/~演员
小人,xiao3ren2,,,,个,,,群,,,些,,儿,,,,,,
小时,xiao3shi2,,数,,个,,,,,,,,,,,是,,,做主、宾语时必带定语
小说,xiao3shuo1,,,,"篇,本,部,册",,,批,"种,类",摞,些,,"儿,家",,,,,,侦探~/武打~
小偷,xiao3tou1,,,,个,,,"群,伙,帮",,,些,,"们,儿",,,,,,
小学,xiao3xue2,,,,"所,座,个",,,批,类,,些,,,,,,,,
小篆,xiao3zhuan4,,,,,,,,种,,些,,,,,,,,
小组,xiao3zu3,,,,个,,,,,,些,,长,,,,,,领导~
效果,xiao4guo3,,,,,,,,种,,"些,点",,,,,,,,这种药有~/教学~不错
效率,xiao4lv4,,,,,,,,,,点,,,,,,,,生产~不高
效益,xiao4yi4,,,,,,,,种,,"些,点",,,,,,,,经济~/生产~
校风,xiao4feng1,,,,,,,,种,,,,,,,,,,
校徽,xiao4hui1,,,,"个,枚",,,,种,,些,,,,,,,,
校友,xiao4you3,,,,"个,位,名",,,"批,帮,群",,,些,,们,,,,,,
校园,xiao4yuan2,,,,个,,,,,,,,,,,,,,学校~/在~散步
笑话,xiao4hua5,,,,"句,个,则,篇,本",,,批,种,段,些,,儿,,,,,v,
笑容,xiao4rong2,,,,,,,,,丝,"些,点",,,,,,,,
协会,xie2hui4,,,,个,,,,种,,些,,,,,,,,~成员
协议书,xie2yi4shu1,,,,本,,,份,,,些,,,,,,,,招工~
邪路,xie2lu4,,,,条,,,,,,,,,,,,,,
斜线,xie2xian4,,,,条,,,,,,些,,,,,,,,
鞋,xie2,,,,只,,,"双,批",种,堆,,,子,,,,,,旅游~/~垫子
鞋油,xie2you2,,,,管,,"盒,袋",,种,,"些,点",,,,,,,,
写法,xie3fa3,,,,,,,,种,,些,,,,,,,,
写字台,xie3zi4tai2,,,,"张,个",,车,批,种,,些,,,,,,,,
心,xin1,,,,"颗,条",,,,,,,,,,,,,,人~/爱~
心得,xin1de2,,,,篇,,,份,,段,"些,点",,,,,,,,个人~/学习~
心理,xin1li3,,,,,,,,种,,,,学,,,,,,
心灵,xin1ling2,,,否,,,,,,,,,,,,,,,她有一颗美好的~
心情,xin1qing2,,,,,,,,种,,,,,,,,,,
心事,xin1shi4,,,,"件,桩",,,,种,,"些,点",,,,,,,,了却了一件~
心思,xin1si5,,,,,,,,,,"些,点",,,,,,,,想~/挖空~
心胸,xin1xiong1,,,否,,,,,,,,,,,,,,,
心意,xin1yi4,,,,,,,份,,片,点,,,,,,,,个人~/略表~
心脏,xin1zang4,,,,"个,颗",,,,,,,,,,,,,,~位置/动物~
新潮,xin1chao2,,,,,,,,种,股,,,,,,,,,
新房,xin1fang2,,,,间,,,,,,些,,,,,,,,指新婚夫妇的卧室
新闻,xin1wen2,,,,"条,则,个",,,组,种,,些,,"界,学",,,,,,爆炸~
新秀,xin1xiu4,,,,"个,名",,,批,,,些,,,,,,,,生产~/文坛~
薪水,xin1shui3,,,,,元,,"份,笔",,,些,,,,,,,,
信,xin4,,,,封,,,,,"沓,叠,摞,堆",些,,,,,,,v,求爱~/家~
信封,xin4feng1,,,,个,,,,种,"叠,沓",些,,,,,,,,
信号,xin4hao4,,,,个,,,组,种,串,些,,,,,,,,~灯/交通~/触发~
信件,xin4jian4,,,,,,"车,包",批,,"沓,堆",些,,,,,,,,来往~
信念,xin4nian4,,,,个,,,,种,,,,,,,,,,个人~
信息,xin4xi1,,,,"个,条",,,,"种,类",,"些,点",,化,,,,,,商品~/~词典/出口~
信心,xin4xin1,,,否,,,,,,,,,,,,,,,满怀~/树立~
信用,xin4yong4,,,,,,,,,,点,,,,,,,,商业~很重要/~贷款
信誉,xin4yu4,,,,,,,,,,点,,,,,,,,个人~/这个人不讲~
信纸,xin4zhi3,,,,"张,页,本",,,,种,"叠,沓,摞","些,点",,,,,,,,
兴趣,xing4qu4,,,,,,,,种,,"些,点",,,,,,,,个人~/学习~
星,xing1,,,,"颗,个",,,,,,些,,,,NN,,,,
星期,xing1qi1,,数,,个,,,,,,,,,,,,,,做主、宾语时必带定语
星球,xing1qiu2,,,,"个,颗",,,,,,些,,,,,,,,
刑法,xing2fa3,,,,"部,条",,,,种,,些,,,,,,,,对犯人惩罚的各种法律
行程,xing2cheng2,,,,,,,,,段,,,,,,,,,
行动,xing2dong4,,,,个,,,,种,,些,,,,,,,v,流氓~/~纲领/革命~
行家,hang2jia5,,,,"个,位,名",,,批,,,些,,们,,,,,,
行李,xing2li5,,,,件,"公斤,吨","包,车",批,种,"堆,捆","些,点",,,,,,,,~重量不能超过15公斤/个人~
行情,hang2qing2,,,,个,,,,种,,"些,点",,,,,,,,市场~
行为,xing2wei2,,,,,,,,种,,些,,,,,,,,~准则/商业~/越轨~
行业,hang2ye4,,,,个,,,,种,,些,,性,,,,,,~组织/汽车~
行踪,xing2zong1,,,否,,,,,,,,,,,,,,,
形式,xing2shi4,,,,,,,,"种,类",,些,,化,,,,,,~逻辑/艺术~/教学~
形势,xing2shi4,,,否,,,,,,,,,,,,,,,~报告/政治~/斗争~
形象,xing2xiang4,,,,个,,,,种,,些,,,,,,,a,~思维/人物~
型号,xing2hao4,,,,,,,,"种,类",,些,,,,,,,,一定要标出商品~
姓名,xing4ming2,,,否,,,,,,,,,,,,,,,需要填写~
性别,xing4bie2,,,否,,,,,,,,,,,,,,,"工作证上要填~,年龄等项目"
性能,xing4neng2,,,,,,,,种,,,,,,,,,,飞机~/~指标
性情,xing4qing2,,,,,,,,种,,,,,,,,,,~急躁/~温和
性质,xing4zhi4,,,,,,,,种,,,,,,,,,,化学~
兄妹,xiong1mei4,,数,,个,,,对,,,,,们,,,,,,"数词要大于""一""/两~"
胸怀,xiong1huai2,,,否,,,,,,,,,,,,,,,我们要有一个(种)宽广的~
雄风,xiong2feng1,,,否,,,,,,,,,,,,,,,
雄心,xiong2xin1,,,否,,,,,,,,,,,,,,,
熊,xiong2,,,,"头,只",,,群,种,,些,,,,,,,,
熊猫,xiong2mao1,,,,只,,,"群,对",,,些,,,,,,,,
修辞,xiu1ci2,,,否,,,,,,,,,学,,,,,v,
修养,xiu1yang3,,,,,,,,种,,"些,点",,,,,,,,文学~
袖子,xiu4zi5,,,,"个,只",,,,,,,,,,,,,,
虚词,xu1ci2,,,,个,,,组,"种,类",,些,,,,,,,,汉语~
虚实,xu1shi2,,,否,,,,,,,,,,,,,,,
虚线,xu1xian4,,,,条,,,,,段,些,,,,,,,,
需要,xu1yao4,,,,,,,,种,,,,,,,,,v,"工作~/革命~/做主、宾语,需带定语/群众的~"
序号,xu4hao4,,,,个,,,组,,,,,,,,,,,汽车~
序幕,xu4mu4,,,否,,,,,,,,,,,,,,,一场~
畜牧业,xu4mu4ye4,,,否,,,,,,,,,,,,,,,
绪论,xu4lun4,,,,篇,,,,,,,,,,,,,,
絮语,xu4yu3,,,否,,,,,,,,,,,,,,,你别听她那些~
宣传画,xuan1chuan2hua4,,,,"幅,张",,,"组,套",种,,些,,,,,,,,
宣言,xuan1yan2,,,,"个,篇,项",,,份,,,些,,,,,,,,政治~/独立~
宣纸,xuan1zhi3,,,,张,,"盒,箱",,种,"卷,捆",些,,,,,,,,
旋风,xuan4feng1,,,,,,,,,股,,,,,,,,,一阵~
旋律,xuan2lv4,,,,,,,,种,段,,,,,,,,,音乐~
选民,xuan3min2,,数,,"个,位,名",,,"群,帮",,,些,,们,,,,,,今天3万~走上街头
选票,xuan3piao4,,,,张,,,批,,"叠,沓,把",些,,,,,,,,
选手,xuan3shou3,,,,"位,名,个",,,"对,批",,,些,,们,,,,,,~名额/排球~/跳高~
穴位,xue2wei4,,,,个,,,,种,,些,,,,,,,,
学费,xue2fei4,,,,,元,,笔,,,些,,,,,,,,
学风,xue2feng1,,,,,,,,种,,,,,,,,,,存在两种~
学会,xue2hui4,,,,个,,,,种,,些,,,,,,,v,~章程/物理~
学科,xue2ke1,,,,,,,,"种,门",,些,,,,,,,,~内容/生物~/交叉~
学历,xue2li4,,,,,,,,种,,点,,,,,,,,个人~/~证书
学生,xue2sheng5,,数,,"个,位,名",,,"群,批,帮",,,些,,们,,,,,,北京大学有1万~
学术,xue2shu4,,,否,,,,,,,,,"性,界",,,,,,现代~思想/~团体
学说,xue2shuo1,,,,,,,,"种,类",,些,,,,,,,,
学问,xue2wen5,,,,,,,,"种,门",,"些,点",,,,,,,,他有~
学校,xue2xiao4,,,,"个,所,座",,,,种,,些,,,,,,可,,
学者,xue2zhe3,,,,"个,位,名",,,"群,帮",,,些,,们,,,,,,
雪,xue3,,,,,,"筐,车",,,"层,片,堆","些,点",,,,,,,,今年下了两场~
雪糕,xue3gao1,,,,"根,支",,"盒,箱",,种,,"些,点",,,,,,,,
雪原,xue3yuan2,,,,,,,,,片,,,,,,,,,"数词限于""一"""
血,xue4,,,,,"毫升,升","瓶,袋",,,"滴,摊","些,点",,,,,,,,
血浆,xue4jiang1,,,,,"毫升,升","瓶,袋",批,,滴,"些,点",,,,,,,,
血型,xue4xing2,,,,,,,,种,,,,,,,,,,
血压,xue4ya1,,,否,,,,,,,,,,,,,,,~是70-110毫米汞柱
血液,xue4ye4,,,,,"毫升,立方毫米",,,,,些,,,,,,,,
勋章,xun1zhang1,,,,"枚,个",,盒,,种,串,些,,,,,,,,劳动~
巡警,xun2jing3,,,,"个,位,名",,,"群,队",,,些,,们,,,,,,
压力,ya1li4,,,,,"克,千克,公斤",,,种,股,"些,点",,,,,,,,政治~/舆论~
押金,ya1jin1,,数,,,元,,笔,,,些,,,,,,,,需要3万~
鸭蛋,ya1dan4,,,,个,"斤,公斤,吨,千克","筐,盘",,,,"些,点",,,,,,,,
鸭子,ya1zi5,,,,只,,,"群,对",种,,些,,,,,,,,
牙,ya2,,,,颗,,,,,排,,,,,,,,,
牙齿,ya2chi3,,,,"颗,个",,,,,排,,,,,,,,,
牙膏,ya2gao1,,,,"支,管",,盒,批,种,,"些,点",,,,,,,,
牙刷,ya2shua1,,,,把,,盒,批,种,,些,,儿,,,,,,
哑巴,ya3ba5,,,,个,,,"群,帮",,,些,,,,,,,,
哑谜,ya3mi2,,,,"个,句",,,,,,些,,,,,,,,
雅座,ya3zuo4,,,,个,,,,,排,,,儿,,,,,,
亚军,ya4jun1,,,,"个,项",,,,,,,,,,,,,,篮球~/跳水~
咽喉,yan1hou2,,,否,,,,,,,,,,,,,,,
烟,yan1,,,,"条,支,根","克,千克,公斤,斤","包,盒",批,种,"股,团",些,,,,,,,,~味儿/云南~质量很好
烟缸,yan1gang1,,,,"个,只",,,,种,,些,,,,,,,,
烟盒,yan1he2,,,,个,,,,种,,些,,儿,,,,,,
烟灰,yan1hui1,,,,,,包,,,堆,"些,点",,,,,,,,
烟雾,yan1wu4,,,,,,,,,"团,片",,,,,,,,,~弥漫/~腾腾
烟瘾,yan1yin3,,,否,,,,,,,,,,,,,,,
胭脂,yan1zhi5,,,,,,盒,,种,,点,,,,,,,,红色~
言论,yan2lun4,,,,,,,,种,,些,,,,,,,,政治~/革命~
言语,yan2yu3,,,否,,,,,,,,,,,,,,,"小张说话,~粗鲁"
研究生,yan2jiu1sheng1,,数,,"个,位,名",,,"群,帮",,,些,,,,,,,,我校有3千~
研究所,yan2jiu1suo3,,,,个,,,批,种,,些,,,,,,可,,计算语言学~
盐,yan2,,,,粒,"斤,公斤,吨,克","袋,包",批,种,"把,堆","些,点",,,,,,,,工业~/~溶液
盐酸,yan2suan1,,,,,"克,千克,吨",瓶,,,滴,"些,点",,,,,,,,
颜色,yan2se4,,,,,,,,种,,些,,,,,,,,~种类你可以任意挑选/桌子~
眼,yan3,,,,个,,,,,,,,儿,,,,,q,一~看见了她
眼睛,yan3jing5,,,,只,,,"对,双,副",,,,,,,,,,,牛~很大
眼镜,yan3jing4,,,,副,,盒,批,种,,些,,儿,,,,,,
眼泪,yan3lei4,,,,,,,,,"滴,行","些,点",,,,,,,,鳄鱼~
眼神,yan3shen2,,,否,,,,,,,,,,,,,,,
演唱会,yan3chang4hui4,,,,个,,,,,,些,,,,,,,,
演员,yan3yuan2,,,,"位,个,名",,,"群,批,帮",类,,些,,们,,,,,,
宴会,yan4hui4,,,,个,,,,,,些,,,,,,,,~时间/家庭~
谚语,yan4yu3,,,,"条,句,本",,,组,种,,些,,,,,,,,
燕子,yan4zi5,,,,"只,个",,,"群,对,窝",,,些,,,,,,,,
秧苗,yang1miao2,,,,"棵,株",亩,,,,"片,捆,把",些,,,,,,,,早稻~
羊,yang2,,,,"只,头",,,群,种,,些,,,,,,,,
羊毛,yang2mao2,,,,根,"斤,公斤,吨,千克",包,批,"种,类","把,团,堆",些,,,,,,,,
羊皮,yang2pi2,,,,张,,,,,块,些,,,,,,,,
羊肉,yang2rou4,,,,,"斤,吨,克,千克","碗,盘",,,块,"些,点",,,,,,,,
阳光,yang2guang1,,,,,,,,,"道,线,片","些,点",,,,,,,,
阳台,yang2tai2,,,,个,平方米,,,,,些,,,,,,,,
杨梅,yang2mei2,1,,,"棵,株",亩,,,,"排,片",些,,,,,,,,常绿灌木或乔木
杨梅,yang2mei2,2,,,"颗,个","斤,吨,克,千克,公斤","筐,包,盘",,,把,"些,点",,,,,,,,果实
洋葱,yang2cong1,,,,个,"斤,公斤,克,千克","筐,盘",,,"堆,片","些,点",,,,,,,,葱头
洋房,yang2fang2,,,,"座,栋,幢",平方米,,,,排,些,,,,,,,,
洋相,yang2xiang4,,,,个,,,,,,,,,,,,,,出你的~
养分,yang3fen4,,,,,,,,种,,"些,点",,,,,,,,
氧气,yang3qi4,,,,,"毫升,升","瓶,罐,包,袋",,,,"些,点",,,,,,,,
样品,yang4pin3,,,,"件,个",,,"套,批",种,,些,,,,,,,,汽车~/展览~
样子,yang4zi5,,,,个,,,,种,,,,,,,,,,鞋~/衣服~
妖怪,yao1guai4,,,,个,,,"群,帮,伙",种,,些,,,,,,,,
腰,yao1,,,否,,,,,,,,,,,,,,,闪了~/水蛇~
腰围,yao1wei2,,,否,,,,,,,,,,,,,,,
谣言,yao2yan2,,,,个,,,,种,,些,,,,,,,,
徭役,yao2yi4,,,,,,,,种,,些,,,,,,,,
摇篮,yao2lan2,,,,"个,只",,,,种,,些,,,,,,,,塑料~/革命~
药,yao4,,,,剂,克,"瓶,包,盒","批,副","种,类",片,"些,点",,,,,,,v,~钱/外国~/进口~/~死了两只老鼠(v)
药材,yao4cai2,,,,,"吨,公斤,克,千克","包,盒",批,"种,类",,"些,点",,,,,,,,~商店/中国~
药店,yao4dian4,,,,"个,家",,,,,,些,,,,,,可,,
药品,yao4pin3,,,,,"吨,公斤","箱,包,瓶",批,"种,类",,"些,点",,,,,,,,~种类/中国~
药物,yao4wu4,,,,,,箱,批,种,,些,,学,,,,,,
药效,yao4xiao4,,,否,,,,,,,,,,,,,,,
要点,yao4dian3,,,,"个,项",,,,,,些,,,,,,,,
要领,yao4ling3,,,,"个,项",,,,,,些,,,,,,,,
要求,yao1qiu2,,,,"个,项,点,条",,,,种,,"些,点",,,,,,,v,学习~
椰子,ye1zi5,1,,,"棵,株",亩,,,,"行,片,排",些,,,,,,,,常绿乔木
椰子,ye1zi5,2,,,个,"斤,吨,克,千克","箱,筐,车",,,堆,"些,点",,,,,,,,果实
爷爷,ye2ye5,,,,"个,位",,,,,,,,们,,,,,,
野兽,ye3shou4,,,,"只,头",,,群,种,,些,,,,,,,,~种类
野心,ye3xin1,,,,,,,,种,,"些,点",,家,,,,,,政治~
业务,ye4wu4,,,,项,,,,种,,些,,员,,,,,,~范围/财会~
叶子,ye4zi5,,,,片,,,,种,堆,些,,,,,,,,
页码,ye4ma3,,,,个,,,,,,,,儿,,,,,,
夜班,ye4ban1,,,,个,,,,,,,,,,,,,,
夜空,ye4kong1,,,否,,,,,,,,,,,,,,,晴朗的~
夜色,ye4se4,,,否,,,,,,,,,,,,,,,朦胧的~
液化气,ye4hua4qi4,,,,,"公斤,立方米",罐,,种,,些,,,,,,,,
液体,ye4ti3,,,,,立方米,,,种,,些,,,,,,,,~肥皂
一般性,yi1ban1xing4,,,否,,,,,,,,,,,,,,,~问题
衣服,yi1fu5,,,,"件,身",,"箱,包",套,种,堆,"些,点",,,,,,,,土布~/~式样
衣物,yi1wu4,,,,件,,"箱,车",批,种,,些,,,,,,,,
医德,yi1de2,,,否,,,,,,,,,,,,,,,
医生,yi1sheng1,,,,"位,个,名",,,"批,群","种,类",,些,,们,,,,,,
医师,yi1shi1,,,,"个,位,名",,,"群,批","种,类",,些,,们,,,,,,
医学,yi1xue2,,,,,,,,门,,点,,"家,界",,,,,,现代~/~常识
医院,yi1yuan4,,,,"家,个,座,所",,,批,种,,些,,,,,,可,,
仪表,yi2biao3,,,,"台,个",,箱,批,种,,些,,,,,,,,电力~
仪器,yi2qi4,,,,"个,台,件,架",,箱,"批,套,组",种,,些,,,,,,,,这是天文观测~/绘图~
仪式,yi2shi4,,,,"个,项",,,,种,,些,,,,,,,,开业~/欢迎~
姨,yi2,,数,,个,,,,,,,阿,,,,,,,三~
移民,yi2min2,,,,"个,户",,,"群,批",,,些,,,,,,,v,~政策
遗产,yi2chan3,,,,,,,"笔,份,批",种,,"些,点",,,,,,,,历史~
遗言,yi2yan2,,,,"篇,句",,,,,,些,,,,,,,,
遗址,yi2zhi3,,,,"处,个",,,,,,些,,,,,,,,圆明园~/~位置
疑点,yi2dian3,,,,个,,,,,串,些,,,,,,,,
疑问,yi2wen4,,,,"个,点",,,,种,,"些,点",,,,,,,,她有~/~语气
椅子,yi3zi5,,,,"张,把",,,对,,"排,行",些,,,,,,,,
义务,yi4wu4,,,,"项,条",,,,种,,点,,,,,,,d,大家有~/党员~/~兵
艺术家,yi4shu4jia1,,,,"个,位,名",,,批,,,些,,,,,,,,~风度/表演~/中国~
艺术品,yi4shu4pin3,,,,"件,个",,箱,批,种,,些,,,,,,,,
议程,yi4cheng2,,,,"个,项",,,,,,,,,,,,,,
议会,yi4hui4,,,,个,,,,,,,,,,,,,,
异乡,yi4xiang1,,,否,,,,,,,,,,,,,,,
译文,yi4wen2,,,,"篇,本,句",,,,,段,些,,,,,,,,
译著,yi4zhu4,,,,"本,部",,,批,,,些,,,,,,,,
意见,yi4jian5,,,,"条,点",,,,种,堆,"些,点",,,,,,,,她没有~/群众~/批评~
意识,yi4shi2,,,,,,,,种,,,,,,,,,v,现代~/~形态
意思,yi4si5,,,,个,,,,种,层,"些,点",,,,,,,v,这是我的一点~
意义,yi4yi4,,,,,,,,种,,点,,,,,,,,这件事有~/政治~
意志,yi4zhi4,,,否,,,,,,,,,,,,,,,个人~/他有一种坚强的革命~
毅力,yi4li4,,,,,,,,种,,点,,,,,,,,做事没有~不行
因果,yin1guo3,,,否,,,,,,,,,,,,,,,
因素,yin1su4,,,,"点,个",,,,种,,些,,,,,,,,个人~
阴暗面,yin1an4mian4,,,,个,,,,,,,,,,,,,,
阴谋,yin1mou2,,,,个,,,,种,,些,,家,,,,,v,他有~/政治~
阴影,yin1ying3,,,,"个,条",,,,,"片,道",些,,,,,,,,
姻缘,yin1yuan2,,,,,,,,,段,,,,,,,,,
音标,yin1biao1,,,,个,,,,种,,些,,,,,,,,国际~
音调,yin1diao4,,,,个,,,,种,,些,,,,,,,,
音节,yin1jie2,,,,个,,,,,,些,,,,,,,,
音乐,yin1yue4,,,,,,,,种,段,"些,点",,,,,,,,
音量,yin1liang4,,,否,,,,,,,,,,,,,,,~大小
音色,yin1se4,,,否,,,,,,,,,,,,,,,
音响,yin1xiang3,,,否,,,,,,,,,,,,,,,~设备/组合~
音信,yin1xin4,,,,,,,,,,"些,点",,,,,,,,
银耳,yin2er3,,,,,"斤,公斤,克,千克","包,袋",,,"把,片","些,点",,,,,,,,
银牌,yin2pai2,,,,"块,枚",,盒,,,,些,,,,,,,,跳水~
银行,yin2hang2,,,,"个,家,所,座",,,,种,,些,,,,,,可,,中国~
引号,yin3hao4,,,,个,,,对,种,,些,,,,,,,,有一些~写得很不规范
引子,yin3zi5,,,,个,,,,,段,,,,,,,,,药~
饮料,yin3liao4,,,,,"公升,吨,千克","瓶,杯,桶",,种,,"些,点",,,,,,,,
饮食,yin3shi2,,,否,,,,,,,,,,,,,,,~疗法/个人~
隐情,yin3qing2,,,,,,,,,,"些,点",,,,,,,,
印鉴,yin4jian4,,,,个,,,,,,,,,,,,,,
印数,yin4shu4,,,否,,,,,,,,,,,,,,,
印象,yin4xiang4,,,,"点,个",,,,种,,"些,点",,,,,,,,他给人一种~是非常和气
应用文,ying4yong4wen2,,,,篇,,,,种,段,些,,,,,,,,
英文,ying1wen2,,,,句,,,,门,,点,,,,,,,,
英雄,ying1xiong2,,,,"位,个,名",,,"群,批",,,些,,们,,,,,,~人物/古代~/劳动~
英语,ying1yu3,,,,句,,,,门,,点,,,,,,,,~语法/英国~
婴儿,ying1er2,,,,个,,,,,,些,,,,,,,,
鹦鹉,ying1wu3,,,,"只,个",,,"群,对",种,,些,,,,,,,,
鹰,ying1,,,,只,,,群,种,,些,老,,,,,,,
荧光,ying2guang1,,,,,,,,,束,,,,,,,,,
荧幕,ying2mu4,,,否,,,,,,,,,,,,,,,电视~
营,ying2,,数,,个,,,,,,些,,长,,,是,,,训练~/有些~干群关系很好
营养,ying2yang3,,,,,,,,"种,类",,"些,点",,"学,品",,,,,,这种食品有~/~知识/儿童~
赢利,ying2li4,,,,,,,,,,"些,点",,,,,,,v,~数额
影集,ying3ji2,,,,"本,个",,,,种,摞,些,,,,,,,,
影迷,ying3mi2,,,,"个,位,名",,,"群,帮,伙",,,些,,们,,,,,,
影片,ying3pian4,,,,部,,,批,,,些,,,,,,,,
